C,threshold,validation_profit_pct,validation_trades,validation_precision_pct,validation_recall_pct,validation_accuracy_pct,test_profit_pct,test_trades,test_precision_pct,test_recall_pct,test_accuracy_pct,test_tp,test_fp,test_fn,test_tn,eligible_for_selection
0.5,0.45,-204.6,93,0.0,0.0,93.89310368395873,-2.1999999999999797,281,54.804270462633454,3.454463885150292,94.32156038548288,154,127,4304,73447,True
0.5,0.5,-187.0,85,0.0,0.0,93.90677328959059,29.000000000000004,225,58.22222222222222,2.9385374607447288,94.33437564076277,131,94,4327,73480,True
0.5,0.55,-180.39999999999998,82,0.0,0.0,93.91189939170255,4.8000000000000265,176,55.68181818181818,2.1982951996410947,94.31258970678697,98,78,4360,73496,True
1.0,0.45,-211.20000000000002,96,0.0,0.0,93.88797758184676,-4.3999999999999595,282,54.60992907801418,3.454463885150292,94.32027885995488,154,128,4304,73446,True
1.0,0.5,-198.0,90,0.0,0.0,93.89822978607067,28.600000000000048,227,58.14977973568281,2.9609690444145356,94.33437564076277,132,95,4326,73479,True
1.0,0.55,-184.79999999999998,84,0.0,0.0,93.90848199029458,6.600000000000028,177,55.932203389830505,2.220726783310902,94.31387123231495,99,78,4359,73496,True
2.0,0.45,-224.39999999999998,102,0.0,0.0,93.87772537762285,-8.799999999999963,284,54.22535211267606,3.454463885150292,94.31771580889891,154,130,4304,73444,True
2.0,0.5,-209.0,95,0.0,0.0,93.88968628255074,26.800000000000026,226,57.9646017699115,2.9385374607447288,94.33309411523477,131,95,4327,73479,True
2.0,0.55,-193.6,88,0.0,0.0,93.90164718747864,8.000000000000028,180,56.111111111111114,2.265589950650516,94.31515275784294,101,79,4357,73495,True
