C,threshold,score_min,score_median,score_max,skipped,validation_trades,validation_profit_pct,validation_precision_pct,validation_recall_pct,validation_accuracy_pct,validation_tp,validation_fp,validation_fn,validation_tn,test_trades,test_profit_pct,test_precision_pct,test_recall_pct,test_accuracy_pct,test_tp,test_fp,test_fn,test_tn
0.03,0.55,-1.6380547244418802,-0.956212177437954,0.44237109319593915,True,0,,,,,,,,,179,-1.7999999999999572,54.7486033519553,2.1982951996410947,94.308745130203,98,81,4360,73493
0.03,0.56,-1.6380547244418802,-0.956212177437954,0.44237109319593915,True,0,,,,,,,,,165,-10.999999999999988,53.333333333333336,1.973979362943024,94.30105597703506,88,77,4370,73497
0.03,0.57,-1.6380547244418802,-0.956212177437954,0.44237109319593915,True,0,,,,,,,,,155,-16.99999999999997,52.25806451612903,1.8169582772543742,94.29592987492312,81,74,4377,73500
0.03,0.58,-1.6380547244418802,-0.956212177437954,0.44237109319593915,True,0,,,,,,,,,146,-17.19999999999997,52.054794520547944,1.7048003589053389,94.29464834939512,76,70,4382,73504
0.03,0.6,-1.6380547244418802,-0.956212177437954,0.44237109319593915,True,0,,,,,,,,,128,-13.599999999999968,52.34375,1.502916105877075,94.29464834939512,67,61,4391,73513
0.05,0.55,-1.6738567090708254,-0.9624604787102211,0.634763273689243,False,20,-43.99999999999999,0.0,0.0,94.0178388353496,0.0,20.0,3481.0,55023.0,173,-4.599999999999982,54.33526011560693,2.108568864961866,94.30618207914702,94,79,4364,73495
0.05,0.56,-1.6738567090708254,-0.9624604787102211,0.634763273689243,True,16,,,,,,,,,162,-12.399999999999967,53.086419753086425,1.9291161956034097,94.29977445150708,86,76,4372,73498
0.05,0.57,-1.6738567090708254,-0.9624604787102211,0.634763273689243,True,14,,,,,,,,,152,-14.399999999999968,52.63157894736842,1.794526693584567,94.2972114004511,80,72,4378,73502
0.05,0.58,-1.6738567090708254,-0.9624604787102211,0.634763273689243,True,7,,,,,,,,,144,-20.799999999999976,51.388888888888886,1.6599371915657246,94.29208529833915,74,70,4384,73504
0.05,0.6,-1.6738567090708254,-0.9624604787102211,0.634763273689243,True,3,,,,,,,,,126,-5.199999999999982,53.96825396825397,1.525347689546882,94.29977445150708,68,58,4390,73516
0.07,0.55,-1.6903702004363867,-0.9651639414943523,0.8002469244721819,False,38,-83.6,0.0,0.0,93.98708222267787,0.0,38.0,3481.0,55005.0,174,-2.7999999999999803,54.59770114942529,2.1310004486316734,94.30746360467501,95,79,4363,73495
0.07,0.56,-1.6903702004363867,-0.9651639414943523,0.8002469244721819,False,37,-81.39999999999999,0.0,0.0,93.98879092338186,0.0,37.0,3481.0,55006.0,165,-2.9999999999999805,54.54545454545454,2.0188425302826376,94.30618207914702,90,75,4368,73499
0.07,0.57,-1.6903702004363867,-0.9651639414943523,0.8002469244721819,False,36,-79.19999999999999,0.0,0.0,93.99049962408584,0.0,36.0,3481.0,55007.0,155,-8.999999999999964,53.5483870967742,1.8618214445939882,94.30105597703506,83,72,4375,73502
0.07,0.58,-1.6903702004363867,-0.9651639414943523,0.8002469244721819,False,34,-74.8,0.0,0.0,93.99391702549381,0.0,34.0,3481.0,55009.0,142,-16.39999999999999,52.112676056338024,1.6599371915657246,94.29464834939512,74,68,4384,73506
0.07,0.6,-1.6903702004363867,-0.9651639414943523,0.8002469244721819,False,29,-63.800000000000004,0.0,0.0,94.00246052901375,0.0,29.0,3481.0,55014.0,126,-5.199999999999982,53.96825396825397,1.525347689546882,94.29977445150708,68,58,4390,73516
0.1,0.55,-1.701564875399941,-0.967571359305207,0.9359892999175154,False,50,-109.99999999999999,0.0,0.0,93.96657781423005,0.0,50.0,3481.0,54993.0,172,-6.3999999999999835,54.06976744186046,2.0861372812920593,94.30490055361904,93,79,4365,73495
0.1,0.56,-1.701564875399941,-0.967571359305207,0.9359892999175154,False,50,-109.99999999999999,0.0,0.0,93.96657781423005,0.0,50.0,3481.0,54993.0,167,0.6000000000000227,55.08982035928144,2.063705697622252,94.308745130203,92,75,4366,73499
0.1,0.57,-1.701564875399941,-0.967571359305207,0.9359892999175154,False,49,-107.79999999999998,0.0,0.0,93.96828651493404,0.0,49.0,3481.0,54994.0,157,-5.39999999999996,54.14012738853503,1.9066846119336025,94.30361902809103,85,72,4373,73502
0.1,0.58,-1.701564875399941,-0.967571359305207,0.9359892999175154,False,46,-101.2,0.0,0.0,93.973412617046,0.0,46.0,3481.0,54997.0,146,-13.199999999999989,52.73972602739726,1.727231942575146,94.2972114004511,77,69,4381,73505
0.1,0.6,-1.701564875399941,-0.967571359305207,0.9359892999175154,False,45,-99.0,0.0,0.0,93.97512131775,0.0,45.0,3481.0,54998.0,127,-7.399999999999962,53.54330708661418,1.525347689546882,94.29849292597908,68,59,4390,73515
